quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2	1000	1	14	9	1	1	1	1	3	1	1	1	1	1	1	1	-1.50	-4.50	1.036337	4.615971	0.480479	0.528815	0	0.524120	0.500529
3	1000	0	23	17	0	0	0	0	6	0	0	0	0	0	0	0	-1.50	-4.50	1.036337	4.614359	0.479053	0.493570	1	0.493570	0.500529
4	1000	0	26	31	0	0	0	0	9	0	0	0	0	0	0	0	-1.50	-4.50	1.034725	4.609524	0.480479	0.547637	1	0.498260	0.500529
5	1000	0	14	19	0	0	0	0	2	0	0	0	0	0	0	0	-1.50	-4.50	1.035531	4.612747	0.479053	0.498260	0	0.533516	0.500529
6	1000	0	20	23	0	0	0	0	6	0	0	0	0	0	0	0	-1.50	-4.50	1.034725	4.609524	0.480479	0.547637	1	0.498260	0.500529
7	1000	0	19	29	0	0	0	0	9	0	0	0	0	0	0	0	-1.50	-4.50	1.036337	4.614359	0.479053	0.493570	0	0.533516	0.500529
8	1000	0	30	24	0	0	0	0	7	0	0	0	0	0	0	0	-1.50	-4.50	1.036337	4.614359	0.479053	0.493570	0	0.533516	0.500529
9	1000	2	19	15	2	2	2	2	3	2	2	2	2	2	2	2	-1.50	-4.50	1.034725	4.611135	0.479053	0.502953	0	0.533516	0.500529
10	1000	5	9	7	4	4	4	4	5	4	4	4	4	4	4	4	-1.50	-4.50	1.037143	4.617582	0.480479	0.524120	1	0.479522	0.500529
11	1000	0	3	9	0	0	0	0	0	0	0	0	0	0	0	0	-1.50	-4.50	1.036337	4.612747	0.479053	0.498260	0	0.622871	0.500529
12	1000	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	-1.50	-4.50	1.034725	4.609524	0.477628	0.467663	0	0.535893	0.500529
13	1000	3	10	9	2	2	2	2	3	2	1	2	2	2	2	2	-1.50	-4.50	1.036337	4.615971	0.480479	0.528815	0	0.568745	0.500529
14	1000	0	17	18	0	0	0	0	5	0	0	0	0	0	0	0	-1.50	-4.50	1.036337	4.612747	0.480479	0.538219	0	0.528815	0.500529
15	1000	0	28	26	0	0	0	0	6	0	0	0	0	0	0	0	-1.50	-4.50	1.036337	4.612747	0.480479	0.538219	0	0.528815	0.500529
16	1000	0	19	16	0	0	0	0	3	0	0	0	0	0	0	0	-1.50	-4.50	1.036337	4.612747	0.480479	0.538219	1	0.493570	0.500529
17	1000	2	13	18	1	1	1	1	4	1	1	1	1	1	1	1	-1.00	-4.50	1.037143	4.615971	0.477628	0.448954	0	0.547637	0.500529
18	1000	5	8	13	5	5	5	5	6	5	5	5	5	5	5	5	-1.50	-4.50	1.037143	4.615971	0.480479	0.528815	1	0.484202	0.500529
19	1000	5	6	6	4	4	4	4	4	4	4	4	4	4	4	4	-1.50	-4.50	1.037143	4.614359	0.479053	0.493570	0	0.524120	0.500529
20	1000	5	10	5	3	4	3	3	3	3	3	3	3	3	3	3	-1.50	-4.50	1.037949	4.617582	0.480479	0.524120	0	0.554624	0.500529
21	1000	6	9	12	6	6	6	6	7	6	6	6	6	6	6	6	-1.00	-4.50	1.037949	4.614359	0.480479	0.533516	0	0.648606	0.500529
22	1000	4	8	11	4	4	4	4	5	4	4	4	4	4	4	4	-1.00	-4.50	1.037143	4.606300	0.497588	1.037231	0	0.517051	0.500529
23	1000	1	11	12	0	0	1	0	1	0	0	0	0	0	0	0	-1.00	-4.50	1.037143	4.609524	0.480479	0.547637	1	0.498260	0.500529
24	1000	0	10	7	0	0	0	0	1	0	0	0	0	0	0	0	-1.00	-4.50	1.037143	4.609524	0.479053	0.507648	0	0.538219	0.500529
25	1000	1	10	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.00	-4.50	1.037949	4.614359	0.480479	0.533516	0	0.528815	0.500529
26	1000	0	9	11	0	0	0	0	2	0	0	0	0	0	0	0	-1.00	-4.50	1.034725	4.603077	0.479053	0.526465	1	0.441702	0.500529
27	1000	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	-1.00	-4.50	1.037949	4.609524	0.480479	0.547637	0	0.502953	0.500529
28	1000	4	7	8	4	4	4	4	4	4	4	4	4	4	4	4	-1.00	-4.50	1.037949	4.612747	0.480479	0.538219	0	0.528815	0.500529
29	1000	1	11	9	1	1	1	1	5	1	1	1	1	1	1	1	-1.00	-4.50	1.037143	4.609524	0.480479	0.547637	0	0.542926	0.500529
30	1000	7	9	8	7	7	7	7	7	7	7	7	7	7	7	7	-1.00	-4.50	1.038755	4.614359	0.480479	0.533516	0	0.524120	0.500529
31	1000	1	25	19	1	1	1	1	8	1	1	1	1	1	1	1	-1.00	-4.50	1.037949	4.612747	0.477628	0.458303	0	0.512349	0.500529
32	1000	0	18	12	0	0	0	0	2	0	0	0	0	0	0	0	-1.00	-4.50	1.037143	4.607912	0.480479	0.552349	0	0.542926	0.500529
33	1000	2	24	16	2	2	2	2	4	2	2	2	2	2	2	2	-1.00	-4.50	1.039560	4.6175
